artist,title,mood,genre,album,tempo,energy,acousticness,danceability
"""Elena Of Avalor"" Cast",My Time,fear,indie,Elena of Avalor (Original Soundtrack),0.5088757396,55,64,69
"""Elena Of Avalor"" Cast",Let Love Light the Way,joy,indie,Disney Junior Music: Elena of Avalor - A Royal Celebration,0.4674556213,80,60,73
"""Weird Al"" Yankovic",Tacky,anger,hard rock,Mandatory Fun,0.7633136095,76,30,73
"""Weird Al"" Yankovic",Yoda,anger,hard rock,"The Essential ""Weird Al"" Yankovic",0.7633136095,86,4,57
"""Weird Al"" Yankovic",Eat It,anger,hard rock,"The Essential ""Weird Al"" Yankovic",0.6863905325,81,9,77
"""Weird Al"" Yankovic",Headline News,anger,hard rock,"Greatest Hits, Vol. 2",0.3786982249,52,33,68
"""Weird Al"" Yankovic",NOW Thats What I Call Polka,anger,hard rock,Mandatory Fun,0.7396449704,73,16,50
"""Weird Al"" Yankovic",Virus Alert,anger,hard rock,Straight Outta Lynwood,0.7869822485,70,10,65
"""Weird Al"" Yankovic",First World Problems,anger,hard rock,Mandatory Fun,0.6390532544,89,4,52
"""Weird Al"" Yankovic",Dont Download This Song,anger,hard rock,Straight Outta Lynwood,0.2603550296,38,54,55
"""Weird Al"" Yankovic",Ill Sue Ya,anger,hard rock,Straight Outta Lynwood,0.8698224852,77,9,65
"""Weird Al"" Yankovic",Perform This Way,anger,hard rock,Alpocalypse,0.5562130178,67,2,80
"""Weird Al"" Yankovic",My Own Eyes,anger,hard rock,Mandatory Fun,0.2544378698,90,0,40
"""Weird Al"" Yankovic",A Complicated Song,anger,hard rock,Poodle Hat,0.3017751479,49,14,74
"""Weird Al"" Yankovic",My Babys in Love with Eddie Vedder,anger,hard rock,Running With Scissors,0.8698224852,80,12,63
"""Weird Al"" Yankovic",Grapefruit Diet,anger,hard rock,Running With Scissors,0.3786982249,51,8,74
"""Weird Al"" Yankovic",Party At the Leper Colony,anger,hard rock,Poodle Hat,0.8816568047,51,1,60
"""Weird Al"" Yankovic",Stop Dragging My Car Around,anger,hard rock,Polkamania!,0.7218934911,82,13,52
"""Weird Al"" Yankovic",Stop Draggin' My Car Around,anger,hard rock,"""Weird Al"" Yankovic",0.5443786982,69,27,69
"""Weird Al"" Yankovic",Don't Download This Song,anger,hard rock,Straight Outta Lynwood,0.2603550296,38,54,55
"""Weird Al"" Yankovic",I'll Sue Ya,anger,hard rock,Straight Outta Lynwood,0.8698224852,77,9,65
"""Weird Al"" Yankovic",My Baby's In Love With Eddie Vedder,anger,hard rock,Running With Scissors,0.8698224852,80,12,63
"""Weird Al"" Yankovic",Party At The Leper Colony,anger,hard rock,Poodle Hat,0.8816568047,51,1,60
"""Weird Al"" Yankovic",The Saga Begins,anger,hard rock,Running With Scissors,0.6686390533,43,33,49
$tupid Young,Cuz Walk,anger,hard rock,Cuz Walk,0.3786982249,45,4,93
$tupid Young,Wit Me,anger,hard rock,True Story II,0.4082840237,64,14,76
$tupid Young,Never By My Lonely,anger,hard rock,True Story II,0.3727810651,64,25,71
$tupid Young,Stupid Freestyle,anger,hard rock,From Here On Out,0.5207100592,50,28,94
$tupid Young,I Remember,anger,hard rock,One of One,0.3668639053,38,81,92
$tupid Young,Own Way,anger,hard rock,True Story,0.3786982249,57,34,74
$tupid Young,Fresh Off the Blocc,anger,hard rock,One of One,0.3964497041,56,14,88
'68,Bad Bite,anger,hard rock,Give One Take One,0.8106508876,98,0,56
...And You Will Know Us by the Trail of Dead,Will You Smile Again?,sadness,indie,Worlds Apart,0.426035503,58,1,50
...And You Will Know Us by the Trail of Dead,Another Morning Stoner,love,indie,Source Tags & Codes (Deluxe),0.6686390533,86,1,24
...And You Will Know Us by the Trail of Dead,How Near How Far,sadness,indie,Source Tags & Codes,0.6923076923,94,0,16
...And You Will Know Us by the Trail of Dead,Worlds Apart,anger,hard rock,Worlds Apart,0.426035503,58,1,50
...And You Will Know Us by the Trail of Dead,It Was There That I Saw You,joy,indie,Source Tags & Codes,0.5562130178,76,2,21
...And You Will Know Us by the Trail of Dead,Let It Dive,sadness,indie,Worlds Apart,0.7041420118,62,0,19
...And You Will Know Us by the Trail of Dead,Source Tags  Codes,sadness,indie,Source Tags & Codes (Deluxe),0.2603550296,27,72,30
...And You Will Know Us by the Trail of Dead,Relative Ways,joy,indie,Source Tags & Codes,0.5621301775,88,0,43
...And You Will Know Us by the Trail of Dead,Mistakes  Regrets,sadness,indie,Madonna,0.7396449704,98,0,29
...And You Will Know Us by the Trail of Dead,Dont Look Down,sadness,indie,X: The Godless Void and Other Stories,0.3313609467,90,0,31
...And You Will Know Us by the Trail of Dead,Baudelaire,anger,hard rock,Source Tags & Codes (Deluxe),0.7810650888,96,0,22
...And You Will Know Us by the Trail of Dead,Isis Unveiled,joy,indie,The Century of Self,0.2130177515,78,0,19
...And You Will Know Us by the Trail of Dead,Heart in the Hand of the Matter,sadness,indie,Source Tags & Codes (Deluxe),0.7041420118,92,0,22
...And You Will Know Us by the Trail of Dead,Days of Being Wild,sadness,indie,Source Tags & Codes (Deluxe),0.4201183432,96,0,20
...And You Will Know Us by the Trail of Dead,A Perfect Teenhood,joy,indie,Madonna,0.2603550296,97,0,10
...And You Will Know Us by the Trail of Dead,The Rest Will Follow,anger,hard rock,Worlds Apart,0.9171597633,87,0,19
10 Years,Vampires,anger,hard rock,(how to live) AS GHOSTS [Deluxe Edition],0.7633136095,93,0,40
1000mods,So Many Days,anger,hard rock,Youth of Dissent,0.6863905325,75,0,44
10cc,Clockwork Creep,anger,hard rock,Sheet Music,0.7337278107,74,47,66
10cc,Blackmail,anger,hard rock,The Original Soundtrack,0.449704142,79,14,45
10cc,The Sacro-Iliac,anger,hard rock,King Biscuit Flower Hour 1975 (live),0.2544378698,71,56,54
11 Acorn Lane,Lets Face It Im Cute,joy,electronic,Time for Tea,0.4556213018,82,2,84
11 Acorn Lane,Spend My Time With You Electro Swing Remix,sadness,electronic,Time for Tea,0.5266272189,88,10,86
11 Acorn Lane,Perfect,joy,electronic,Time for Tea,0.5266272189,91,60,85
11 Acorn Lane,Perfect Electro Swing Remix,joy,electronic,Ladies Night,0.5562130178,87,3,79
1200 Micrograms,Mescaline,anger,electronic,1200 Micrograms,0.6923076923,96,5,66
1200 Micrograms,Acid For Nothing,joy,electronic,Heroes of The Imagination,0.6804733728,95,0,58
1200 Micrograms,LSD,joy,electronic,1200 Micrograms,0.674556213,92,0,53
13th Floor Elevators,You Dont Know,anger,hard rock,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,0.5443786982,77,50,34
20/20,Yellow Pills,anger,hard rock,20/20,0.6094674556,54,0,46
2015 Starz,Ring Ring,anger,hard rock,Worth It - Ringtone Tribute to Fifth Harmony And Kid Ink,0.4082840237,46,0,90
20th Boys,Oi @Stormzy  Sit Back Down,anger,hard rock,Sit Down,0.4615384615,53,45,87
22-Pistepirkko,Onion Soup,joy,rock,Eleven,0.3786982249,93,1,60
2WEI,Survivor,joy,electronic,Sequels,0.6035502959,54,10,35
2WEI,Toxic,anger,electronic,Sequels,0.5266272189,63,18,37
2WEI,Crazy,joy,electronic,Sequels,0.7633136095,46,12,31
3 Doors Down,So I Need You,anger,hard rock,The Better Life,0.674556213,91,0,46
3 Doors Down,Right Where I Belong,anger,hard rock,Seventeen Days,0.8106508876,97,0,35
3 Pill Morning,I Want That For You,anger,hard rock,Black Tie Love Affair,0.3668639053,90,0,49
311,All Mixed Up,anger,hard rock,311,0.3609467456,70,1,76
311,Homebrew,anger,hard rock,Grassroots,0.4201183432,90,1,66
311,Large in the Margin,anger,hard rock,Soundsystem,0.3964497041,91,2,68
311,Flowing,anger,hard rock,Greatest Hits '93 - '03,0.5621301775,95,0,53
311,Space and Time,anger,hard rock,Voyager,0.9053254438,92,10,48
311,Offbeat Bare Ass,anger,hard rock,Grassroots,0.9112426036,88,2,59
311,Galaxy,anger,hard rock,Transistor,0.8402366864,85,4,39
311,Inner Light Spectrum,anger,hard rock,Transistor,0.5857988166,49,20,73
311,I Told Myself,anger,hard rock,From Chaos,0.5384615385,89,0,65
311,DLMD,anger,hard rock,311,0.3727810651,80,0,61
311,What The?,anger,hard rock,Voyager,0.3609467456,92,0,63
311,Full Ride,anger,hard rock,From Chaos,0.8106508876,81,0,36
311,What Was I Thinking,anger,hard rock,Transistor,0.4378698225,80,0,64
311,Salsa,anger,hard rock,Grassroots,0.3431952663,89,2,65
311,Unity,anger,hard rock,Music,0.6686390533,95,0,51
5 Seconds of Summer,Teeth,anger,hard rock,CALM,0.6390532544,45,4,74
5 Seconds of Summer,Babylon,anger,hard rock,Youngblood (Deluxe),0.3668639053,88,0,52
5 Seconds of Summer,English Love Affair,anger,hard rock,5 Seconds Of Summer,0.7041420118,86,1,53
5 Seconds of Summer,Shes Kinda Hot Alternative Version,anger,hard rock,She's Kinda Hot,0.5680473373,94,1,72
5 Seconds of Summer,All I Need,anger,hard rock,5 Seconds Of Summer,0.4201183432,50,3,59
